,id,total_mins_played
384,708,952.0
263,977,1207.0
53,1495,2227.0
290,1713,1091.0
215,1717,2282.0
42,1718,1914.0
461,1737,128.0
201,1882,486.0
391,1889,1253.0
112,1890,1101.0
90,1891,1641.0
436,1905,36.0
54,1938,1587.0
448,2030,104.0
60,2034,701.0
141,2037,1703.0
293,2045,705.0
213,2199,2286.0
119,2200,2681.0
381,2202,416.0
115,2207,2791.0
212,2210,1244.0
253,2216,2304.0
230,2217,119.0
355,2222,286.0
255,2223,544.0
51,2225,1953.0
177,2365,1132.0
277,2399,1838.0
406,2400,864.0
46,2403,1694.0
214,2405,1244.0
372,2406,1623.0
314,2419,1397.0
431,2422,270.0
265,2430,1692.0
354,2440,2271.0
44,2446,1505.0
203,2449,1659.0
390,2457,73.0
378,2501,764.0
114,2544,2493.0
200,2546,1428.0
175,2547,1556.0
176,2548,1971.0
135,2549,1398.0
18,2550,1610.0
99,2555,1101.0
85,2557,683.0
32,2561,1895.0
299,2563,123.0
71,2564,1984.0
100,2570,1148.0
153,2571,982.0
133,2581,1529.0
11,2584,951.0
196,2585,1730.0
228,2588,935.0
63,2590,1980.0
334,2592,669.0
256,2594,2418.0
62,2617,995.0
192,2730,1223.0
308,2732,790.0
130,2733,1468.0
22,2734,1685.0
268,2736,2421.0
131,2738,2069.0
392,2742,327.0
43,2743,1345.0
383,2744,1992.0
91,2746,2301.0
336,2748,593.0
296,2749,1406.0
252,2754,1648.0
427,2755,1302.0
117,2757,1494.0
113,2760,636.0
286,2772,2930.0
460,2853,143.0
258,101106,1583.0
363,101107,2035.0
145,101108,2857.0
432,101109,281.0
300,101110,352.0
152,101111,678.0
98,101112,1870.0
4,101114,2114.0
174,101122,613.0
246,101123,1446.0
105,101126,591.0
5,101127,2241.0
415,101128,200.0
397,101131,878.0
67,101133,1146.0
353,101135,904.0
210,101138,1929.0
28,101139,1841.0
273,101141,1319.0
443,101142,19.0
318,101145,2699.0
77,101150,2016.0
323,101161,1979.0
40,101162,2453.0
159,101179,982.0
74,101181,1270.0
412,101183,126.0
0,101187,1744.0
26,101249,272.0
449,200745,785.0
137,200746,2512.0
282,200751,1087.0
346,200752,2408.0
144,200755,2409.0
266,200757,976.0
178,200761,1087.0
278,200765,2019.0
302,200768,2414.0
331,200769,89.0
143,200770,529.0
139,200777,617.0
312,200779,197.0
257,200794,2390.0
379,200797,441.0
56,200811,937.0
357,201142,913.0
122,201143,2318.0
249,201144,2225.0
188,201145,2455.0
89,201147,2087.0
206,201148,1449.0
21,201149,2049.0
292,201150,1274.0
3,201152,2434.0
149,201155,1874.0
356,201156,1000.0
340,201158,1388.0
57,201160,1785.0
95,201162,1717.0
225,201163,2471.0
17,201166,1885.0
288,201167,2502.0
182,201168,1030.0
367,201171,1192.0
142,201175,904.0
295,201177,296.0
248,201188,2687.0
351,201196,1188.0
281,201202,406.0
219,201229,1433.0
399,201563,505.0
96,201564,1697.0
291,201565,1530.0
235,201566,2302.0
171,201567,2532.0
47,201568,1426.0
304,201569,2018.0
24,201571,1964.0
207,201572,2100.0
167,201573,1717.0
349,201574,1991.0
127,201575,271.0
259,201577,1638.0
129,201578,1207.0
66,201579,1926.0
226,201580,256.0
50,201581,1411.0
316,201582,957.0
162,201583,1675.0
251,201584,2354.0
250,201585,1348.0
195,201586,2116.0
136,201587,2380.0
29,201588,1267.0
368,201589,988.0
424,201593,815.0
306,201595,854.0
173,201596,2368.0
260,201599,2820.0
164,201600,1982.0
38,201601,1916.0
416,201604,103.0
294,201609,2640.0
408,201611,628.0
319,201627,1806.0
418,201858,198.0
458,201880,66.0
146,201933,2356.0
193,201935,2981.0
187,201936,2690.0
423,201937,692.0
125,201939,2613.0
10,201941,1874.0
369,201942,2100.0
371,201943,1173.0
185,201946,1058.0
332,201948,344.0
322,201949,1370.0
82,201950,1303.0
49,201951,2665.0
124,201952,2228.0
365,201954,1565.0
350,201956,1416.0
19,201959,1692.0
123,201960,2189.0
8,201961,1675.0
343,201962,177.0
422,201964,76.0
341,201965,383.0
303,201967,1652.0
222,201971,180.0
14,201973,1230.0
320,201975,1462.0
324,201976,1727.0
254,201977,721.0
231,201978,1286.0
338,201979,838.0
183,201980,2312.0
52,201988,801.0
41,202066,736.0
140,202083,2024.0
197,202087,661.0
39,202322,2837.0
118,202323,2260.0
238,202324,2280.0
264,202325,2245.0
348,202326,2013.0
421,202327,128.0
218,202328,2137.0
204,202329,1366.0
310,202330,2618.0
75,202332,976.0
158,202333,86.0
157,202334,1840.0
186,202335,2156.0
236,202336,586.0
344,202337,830.0
223,202338,1235.0
111,202339,2800.0
190,202340,2428.0
455,202343,119.0
311,202344,1564.0
166,202347,1793.0
78,202349,1991.0
398,202355,1142.0
321,202361,216.0
400,202362,1573.0
274,202366,383.0
410,202379,266.0
68,202388,1107.0
172,202389,2046.0
395,202390,1192.0
9,202391,1907.0
103,202397,831.0
377,202399,215.0
417,202407,924.0
284,202498,1491.0
58,202681,2730.0
366,202682,1462.0
216,202683,2136.0
59,202684,2194.0
79,202685,2096.0
364,202687,1243.0
237,202688,2035.0
388,202689,2119.0
81,202690,509.0
128,202691,2455.0
239,202692,899.0
289,202693,2581.0
229,202695,2033.0
87,202696,2529.0
271,202697,1545.0
148,202699,2369.0
307,202700,2037.0
104,202702,2086.0
120,202703,1654.0
102,202704,2268.0
464,202706,122.0
285,202708,1831.0
70,202709,1444.0
20,202710,2513.0
1,202711,1854.0
220,202713,1744.0
370,202714,833.0
205,202718,2186.0
272,202720,824.0
7,202721,299.0
150,202730,1070.0
404,202734,504.0
16,202738,1726.0
430,202952,194.0
270,203076,2455.0
362,203077,1587.0
224,203078,2107.0
305,203079,2208.0
382,203080,798.0
138,203081,2925.0
80,203082,2092.0
25,203083,2502.0
126,203084,2318.0
163,203085,1563.0
352,203086,847.0
101,203087,633.0
93,203088,417.0
194,203089,1228.0
169,203090,674.0
189,203092,1731.0
374,203093,889.0
170,203094,492.0
261,203095,1661.0
191,203096,1566.0
445,203098,297.0
434,203099,89.0
109,203100,895.0
245,203101,1194.0
385,203105,504.0
342,203108,158.0
15,203109,1647.0
132,203110,2490.0
184,203112,1287.0
94,203114,2378.0
297,203115,984.0
160,203118,1123.0
269,203120,713.0
463,203121,43.0
380,203123,795.0
233,203124,824.0
359,203128,540.0
181,203133,742.0
208,203135,1133.0
154,203136,72.0
241,203138,1776.0
426,203141,892.0
262,203142,828.0
165,203143,1197.0
411,203144,767.0
121,203145,1324.0
389,203148,1330.0
242,203156,1399.0
328,203200,657.0
437,203268,174.0
227,203382,1122.0
35,203457,2311.0
156,203458,1518.0
134,203459,683.0
279,203460,1286.0
301,203461,894.0
393,203462,535.0
347,203463,2670.0
315,203468,973.0
360,203469,1487.0
161,203471,1516.0
168,203473,845.0
309,203475,410.0
180,203476,2193.0
92,203477,938.0
345,203481,259.0
83,203482,1424.0
280,203484,2587.0
452,203485,549.0
6,203486,1743.0
110,203487,2150.0
326,203488,502.0
402,203489,247.0
376,203492,1436.0
327,203493,338.0
472,203495,244.0
221,203496,1956.0
198,203497,2158.0
358,203498,866.0
73,203499,1865.0
234,203500,1771.0
72,203501,1681.0
211,203503,1412.0
108,203504,2288.0
86,203506,2573.0
232,203507,2541.0
247,203508,555.0
429,203511,51.0
459,203512,23.0
84,203515,600.0
88,203521,1380.0
33,203524,2381.0
209,203527,1233.0
339,203530,268.0
405,203539,43.0
419,203540,209.0
267,203544,1037.0
468,203545,23.0
428,203546,192.0
116,203561,423.0
446,203564,6.0
466,203565,29.0
65,203584,397.0
394,203798,687.0
440,203805,69.0
317,203893,65.0
147,203894,1012.0
64,203897,1902.0
386,203898,411.0
2,203900,781.0
97,203901,2489.0
276,203903,1476.0
457,203906,208.0
243,203909,1352.0
433,203910,262.0
106,203914,719.0
27,203915,455.0
387,203917,1127.0
240,203918,1064.0
337,203919,248.0
333,203921,647.0
13,203923,332.0
36,203924,1377.0
313,203925,493.0
396,203926,321.0
275,203928,531.0
401,203932,797.0
12,203935,1808.0
414,203937,358.0
441,203939,236.0
442,203940,740.0
439,203943,259.0
471,203944,14.0
453,203945,14.0
444,203946,64.0
462,203949,137.0
403,203950,126.0
179,203952,2969.0
329,203953,738.0
217,203956,485.0
107,203957,1817.0
467,203958,22.0
37,203960,1131.0
470,203961,2.0
31,203963,108.0
420,203991,90.0
48,203994,1103.0
469,203998,23.0
69,204014,1047.0
407,204020,603.0
34,204025,240.0
373,204028,1195.0
76,204037,672.0
55,204038,1457.0
465,204054,75.0
330,204060,1673.0
454,204079,71.0
