Player,Salary
Kobe Bryant,23500000
Joe Johnson,23180790
Carmelo Anthony,22458401
Amare Stoudemire,21896658
Dwight Howard,21436271
LeBron James,20644400
Chris Bosh,20644400
Chris Paul,20068563
Kevin Durant,19997513
Deron Williams,19754465
Rudy Gay,19317326
Derrick Rose,18862876
Blake Griffin,17632688
Carlos Boozer,16800000
Zach Randolph,16500000
Marc Gasol,15829688
Paul George,15800000
Kevin Love,15719063
Russell Westbrook,15719062
Brook Lopez,15719000
LaMarcus Aldridge,15200000
David Lee,15012000
Dwyane Wade,15000000
Josh Smith,14945778
Roy Hibbert,14898938
Jeremy Lin,14898938
Eric Gordon,14898938
Omer Asik,14898938
Gordon Hayward,14746000
Chandler Parsons,14700000
James Harden,14693906
Tyson Chandler,14596888
Brandon Roy,14399332
DeMarcus Cousins,13701250
John Wall,13701250
Al Jefferson,13500000
Eric Bledsoe,13000000
Nen̻,13000000
Andrew Bogut,12972973
Derrick Favors,12950000
Rajon Rondo,12909090
Joakim Noah,12700000
Tony Parker,12500000
Andre Iguodala,12289544
Serge Ibaka,12250000
Nikola Pekovic,12100000
Al Horford,12000000
David West,12000000
Kevin Garnett,12000000
Andrea Bargnani,12000000
Kyle Lowry,12000000
Ty Lawson,11595506
DeAndre Jordan,11440123
Nicolas Batum,11390500
Tyreke Evans,11265416
JaVale McGee,11250000
Larry Sanders,11000000
Jrue Holiday,11000000
Danilo Gallinari,10854850
Stephen Curry,10629213
Marcin Gortat,10434782
Tim Duncan,10361446
Gerald Wallace,10105855
Anderson Varejao,9800000
Brendan Haywood,9798000
Luol Deng,9714461
Steve Nash,9701000
Kendrick Perkins,9588889
Paul Millsap,9500000
DeMar DeRozan,9500000
Tyrus Thomas,9460664
Mike Miller,9332000
Tiago Splitter,9250000
Jeff Green,9200000
Thaddeus Young,9160870
Lance Stephenson,9000000
Jordan Hill,9000000
Mike Conley,8760000
Monta Ellis,8720000
Marcus Thornton,8697500
Trevor Ariza,8600000
Channing Frye,8579088
Landry Fields,8500000
Ryan Anderson,8491500
Marcus Camby,8354416
Drew Gooden,8128490
Jeff Teague,8000000
Taj Gibson,8000000
Brandon Jennings,8000000
George Hill,8000000
OJ Mayo,8000000
Boris Diaw,8000000
Dirk Nowitzki,7974482
Ersan Ilyasova,7900000
Glen Davis,7827985
Tayshaun Prince,7707865
Al Harrington,7609800
Arron Afflalo,7562500
Goran Dragic,7500000
Kyrie Irving,7459924
Josh Childress,7317500
Wesley Matthews,7245640
Isaiah Thomas,7238606
Avery Bradley,7191011
Pau Gasol,7128000
Jose Calderon,7097191
Travis Outlaw,7000000
Marvin Williams,7000000
Manu Ginobili,7000000
Amir Johnson,7000000
Brandon Bass,6950000
JJ Redick,6792500
Kevin Martin,6792500
Wilson Chandler,6754913
Carl Landry,6750000
Derrick Williams,6679866
Jason Richardson,6601125
Greivis Vasquez,6400000
Jarrett Jack,6300000
Kyle Korver,6253521
Jason Thompson,6037500
Enes Kanter,6008106
Gerald Henderson,6000000
Jodie Meeks,6000000
JR Smith,5982375
Chuck Hayes,5958750
Patrick Patterson,5831326
Jose Juan Barea,5822078
PJ Tucker,5700000
Anthony Davis,5607240
Anthony Bennett,5563920
Andrew Wiggins,5510640
Greg Monroe,5479933
Jason Terry,5450000
Jamal Crawford,5450000
Courtney Lee,5450000
Louis Williams,5450000
Tristan Thompson,5421233
JJ Hickson,5381750
Martell Webster,5381750
Robin Lopez,5340229
Nikola Mirotic,5305000
Shaun Livingston,5305000
Spencer Hawes,5305000
Josh McRoberts,5305000
Paul Pierce,5305000
Chris Andersen,5300000
Zaza Pachulia,5200000
Ricky Rubio,5070686
Michael Kidd-Gilchrist,5016960
Tony Allen,5000000
Chase Budinger,5000000
Brandan Wright,5000000
Trevor Booker,5000000
Nick Young,4994420
Victor Oladipo,4978200
Jabari Parker,4930560
Chris Kaman,4800000
Kostas Papanikolaou,4797664
Darren Collison,4797664
Jameer Nelson,4750000
Corey Brewer,4702500
Timofey Mozgov,4650000
Andre Miller,4625000
Bradley Beal,4505280
Jonas Jerebko,4500000
Luis Scola,4500000
Caron Butler,4500000
Ben Gordon,4500000
Otto Porter,4470480
Joel Embiid,4427640
Luc Mbah a Moute,4382576
Raymond Felton,4360000
Jared Dudley,4250000
Kris Humphries,4250000
CJ Miles,4205000
Bismack Biyombo,4086453
Dion Waiters,4062000
Cody Zeller,4030560
Danny Green,4025000
Thabo Sefolosha,4000000
Ian Mahinmi,4000000
Mario Chalmers,4000000
Aaron Gordon,3992040
Vince Carter,3911981
Kevin Seraphin,3898691
Devin Harris,3878896
Joel Anthony,3800000
Maurice Williams,3750000
Thomas Robinson,3678360
Jonas Valanciunas,3678360
Marreese Speights,3657500
Alex Len,3649920
Dante Exum,3615000
Brandon Knight,3553917
Gerald Green,3500000
Patrick Mills,3500000
Darrell Arthur,3457149
Kemba Walker,3452183
Steve Novak,3445947
Matt Barnes,3396250
Mirza Teletovic,3368100
Damian Lillard,3340920
Mike Scott,3333333
Andrei Kirilenko,3326235
Tyler Hansbrough,3326235
Nerlens Noel,3315120
Marcus Smart,3283320
Evan Turner,3278000
Bojan Bogdanovic,3278000
Jason Smith,3278000
Carlos Delfino,3250000
Gary Neal,3250000
Alec Burks,3201369
Anthony Morrow,3200000
Alexey Shved,3198723
Markieff Morris,3153860
Quincy Pondexter,3146068
Dorell Wright,3145000
Chris Copeland,3130000
Marcus Morris,3105301
Joel Freeland,3100000
Klay Thompson,3075880
Kawhi Leonard,3053368
Harrison Barnes,3049920
Ben McLemore,3026280
Mike Dunleavy,3000000
Randy Foye,3000000
Anthony Tolliver,3000000
Kosta Koufos,3000000
Jerryd Bayless,3000000
DJ Augustin,3000000
Julius Randle,2997360
Will Bynum,2915908
Nikola Vucevic,2902757
Marco Belinelli,2873750
Furkan Aldemir,2810305
Terrence Ross,2793960
Kentavious Caldwell-Pope,2772480
Iman Shumpert,2761113
Luke Ridnour,2750000
Nik Stauskas,2745840
Brian Roberts,2732000
Udonis Haslem,2732000
Kirk Hinrich,2730000
Andre Drummond,2568360
Trey Burke,2548560
Noah Vonleh,2524200
Tobias Harris,2511432
DeMarre Carroll,2500000
James Johnson,2500000
Austin Rivers,2439840
Shelvin Mack,2433333
CJ McCollum,2421000
Elfrid Payton,2397840
Kenneth Faried,2373537
Reggie Jackson,2325680
Meyers Leonard,2317920
Michael Carter-Williams,2300040
Doug McDermott,2277960
Nick Collison,2242003
Jeremy Lamb,2202000
Steven Adams,2184960
Norris Cole,2150188
Cory Joseph,2134593
Jimmy Butler,2119214
Nate Robinson,2106720
Eric Maynor,2106720
Jordan Farmar,2100000
Danny Granger,2100000
Steve Blake,2100000
Aron Baynes,2100000
Vitor Faverani,2090000
CJ Watson,2077000
Beno Udrih,2077000
Ramon Sessions,2077000
Kelly Olynyk,2075760
Zach LaVine,2055840
Kent Bazemore,2000000
Elton Brand,2000000
DeJuan Blair,2000000
John Henson,1987320
Shabazz Muhammad,1971960
TJ Warren,1953120
Moe Harkless,1887840
Samuel Dalembert,1885755
Giannis Antetokounmpo,1873200
Adreian Payne,1855320
Ishmael Smith,1838615
Jeff Ayres,1828750
Anthony Randolph,1825359
Jeremy Evans,1795000
Joffrey Lauvergne,1790281
Reggie Evans,1768654
Jusuf Nurkic,1762680
Lucas Nogueira,1762680
Zoran Dragic,1756500
Gigi Datome,1750000
Tyler Zeller,1703760
Dennis Schroeder,1690680
James Young,1674480
Pablo Prigioni,1662961
Ryan Kelly,1650000
Terrence Jones,1618680
Shane Larkin,1606080
Ronny Turiaf,1600000
Miroslav Raduljica,1596056
Tyler Ennis,1590720
Andrew Nicholson,1545840
Sergey Karasev,1533840
Gary Harris,1519200
Donatas Motiejunas,1483920
Evan Fournier,1483920
Tony Snell,1472400
Bruno Caboclo,1458360
Jannero Pargo,1448490
Nazr Mohammed,1448490
James Jones,1448490
Shawn Marion,1448490
Richard Jefferson,1448490
Leandro Barbosa,1448490
Hidayet Turkoglu,1448490
Willie Green,1448490
Matt Bonner,1448490
Rasual Butler,1448490
Jared Sullinger,1424520
Gorgui Dieng,1413480
Mitch McGary,1400040
Victor Claver,1370000
Mason Plumlee,1357080
Jordan Adams,1344120
Jason Maxiell,1316809
Charlie Villanueva,1316809
Francisco Garcia,1316809
Ronnie Price,1316809
Sebastian Telfair,1316809
John Jenkins,1312920
Ryan Hollins,1310286
Solomon Hill,1302840
Louis Amundson,1294868
Rodney Hood,1290360
Alan Anderson,1276061
Austin Daye,1263550
Bernard James,1259775
Tim Hardaway Jr,1250640
Pero Antic,1250000
Shabazz Napier,1238640
Jordan Hamilton,1232610
Shavlik Randolph,1227985
Aaron Gray,1227985
Rodney Stuckey,1227985
Jeff Adrien,1217698
Tony Wroten,1210080
Reggie Bullock,1200720
Clint Capela,1189200
Miles Plumlee,1169880
Andre Roberson,1160880
PJ Hairston,1149720
Cartier Martin,1145685
Brandon Rush,1145685
Shawne Williams,1145685
Arnett Moultrie,1136160
Christapher Johnson,1135974
Perry Jones,1129200
Rudy Gobert,1127400
Marquis Teague,1120920
Festus Ezeli,1112880
Archie Goodwin,1112280
CJ Wilcox,1109760
Nemanja Nedovic,1104240
Damjan Rudez,1100000
Kyle Anderson,1093680
Kyle Singler,1090000
Xavier Henry,1082000
Wayne Ellington,1063384
Alonzo Gee,1063384
Omri Casspi,1063384
John Salmons,1000000
Robert Covington,1000000
Toure Murry,1000000
Al-Farouq Aminu,981084
Ekpe Udoh,981084
Wesley Johnson,981084
Ed Davis,981084
Alexis Ajinca,981084
Luke Babbitt,981084
Cole Aldrich,981084
Greg Stiemsma,981084
Garrett Temple,981084
Jon Leuer,967500
Ricky Ledo,960566
Jorge Gutierrez,960566
E'Twaun Moore,948163
Greg Smith,948163
Joey Dorsey,948163
Donald Sloan,948163
Lavoy Allen,948163
Jimmer Fredette,948163
Lance Thomas,937004
Jae Crowder,915243
Chris Douglas-Roberts,915243
Jeffery Taylor,915243
Aaron Brooks,915243
Will Barton,915243
Draymond Green,915243
Patrick Beverley,915243
Robert Sacre,915243
Khris Middleton,915243
Darius Miller,915243
Quincy Acy,915243
Kyle O'Quinn,915243
Henry Sims,915243
Kendall Marshall,915243
Nate Wolters,904854
Gal Mekel,888524
Joe Harris,884879
Devyn Marble,884879
Jerami Grant,884879
Robbie Hummel,880000
Jamaal Franklin,864510
Allen Crabbe,862000
Dante Cunningham,831941
Damien Inglis,820000
Kenyon Martin,818049
Mike Muscala,816482
Phil Pressey,816482
Jerome Jordan,816482
Troy Daniels,816482
Matthew Dellavedova,816482
Ognjen Kuzmic,816482
Justin Holiday,816482
Nick Calathes,816482
Justin Hamilton,816482
Jeff Withey,816482
Dewayne Dedmon,816482
Hollis Thompson,816482
Isaiah Canaan,816482
Tony Mitchell,816482
Ray McCallum,816482
Carrick Felix,816482
Grant Jerrett,816482
Ian Clark,816481
Darius Morris,803149
Hassan Whiteside,775191
Dahntay Jones,721169
Malcolm Thomas,713910
Spencer Dinwiddie,700000
Johnny O'Bryant,600000
Markel Brown,507336
Cory Jefferson,507336
Cameron Bairstow,507336
Dwight Powell,507336
Erick Green,507336
KJ McDaniels,507336
Nick Johnson,507336
Shayne Whittington,507336
Jordan Clarkson,507336
Tarik Black,507336
Jarnell Stokes,507336
Russ Smith,507336
James Ennis,507336
Glenn Robinson III,507336
Patric Young,507336
Cleanthony Early,507336
Travis Wear,507336
JaKarr Sampson,507336
Eric Moreland,507336
Joe Ingles,507336
AJ Price,493917
John Lucas,491968
Reggie Williams,487905
Glen Rice Jr,470677
Quincy Miller,398393
Lorenzo Brown,390082
Earl Barron,390063
Michael Beasley,330225
Henry Walker,311634
Elijah Millsap,301417
Langston Galloway,295455
Tyler Johnson,280526
Andre Dawkins,271697
Toney Douglas,268973
James Michael McAdoo,259634
Metta World Peace,250000
JaMychal Green,244712
Shannon Brown,215811
Alex Kirk,214871
Kalin Lucas,173008
Elliot Williams,161511
Bryce Cotton,152200
Jack Cooley,152199
Brandon Davies,129676
Earl Clark,125104
Lester Hudson,111548
Tim Frazier,107435
Will Cherry,106567
Jabari Brown,104450
Jarvis Varnado,75000
Drew Gordon,73657
Jerel McNeal,59686
David Stockton,59686
Larry Drew II,53716
Chris Babb,48028
Vander Blue,48028
Dwight Buycks,48028
Arinze Onuaku,48028
Seth Curry,48028
Malcolm Lee,37686
Sim Bhullar,35000
Jarell Eddie,29843
Sean Kilpatrick,29843
David Wear,29843
Josh Davis,20000
